recipe_id,name,ingredients,prep_time,instructions,difficulty,category,servings,rating,times_cooked,last_cooked_date
1,Pancakes,"Flour:200:g, Milk:300:ml, Egg:2:whole, Sugar:20:g, Baking Powder:10:g",20,Mix ingredients. Cook on a hot pan until golden.,Easy,Breakfast,1,4,13,2026-07-09
2,Scrambled Eggs,"Egg:3:whole, Butter:10:g, Salt:1:tsp, Pepper:0.5:tsp",10,Whisk eggs and cook in butter.,Easy,Breakfast,1,5,22,2026-07-09
3,French Toast,"Bread:4:slices, Egg:2:whole, Milk:100:ml, Cinnamon:1:tsp",15,Dip bread in mixture and fry.,Easy,Breakfast,1,1,15,2026-07-09
4,Omelette,"Egg:3:whole, Cheese:50:g, Butter:10:g",12,Cook eggs and fold with cheese.,Easy,Breakfast,1,5,17,2026-07-09
5,Granola Bowl,"Yogurt:250:g, Granola:80:g, Honey:15:ml, Banana:1:whole",5,Combine all ingredients.,Easy,Breakfast,1,5,9,2026-07-09
6,Chicken Salad,"Chicken Breast:200:g, Lettuce:100:g, Tomato:80:g, Olive Oil:20:ml",20,Cook chicken and toss with vegetables.,Easy,Lunch,1,3,17,2026-07-09
7,Beef Burger,"Ground Beef:200:g, Burger Bun:2:whole, Cheese:40:g, Lettuce:30:g",30,Grill beef and assemble burger.,Medium,Lunch,1,4,14,2026-07-09
8,Club Sandwich,"Bread:6:slices, Chicken Breast:150:g, Lettuce:40:g, Tomato:50:g",15,Layer ingredients between toasted bread.,Easy,Lunch,1,4,11,2026-07-09
9,Chicken Wrap,"Tortilla:2:whole, Chicken Breast:180:g, Lettuce:50:g, Sauce:20:ml",20,Fill tortilla and roll tightly.,Easy,Lunch,1,4,6,6/8/2026
10,Grilled Cheese,"Bread:2:slices, Cheese:80:g, Butter:15:g",10,Toast until cheese melts.,Easy,Lunch,1,1,20,6/25/2026
11,Spaghetti Bolognese,"Spaghetti:250:g, Ground Beef:200:g, Tomato Sauce:250:ml",40,Cook pasta and prepare meat sauce.,Medium,Dinner,1,5,11,6/13/2026
12,Chicken Alfredo,"Pasta:250:g, Chicken Breast:200:g, Cream:200:ml, Parmesan:50:g",35,Cook pasta and combine with sauce.,Medium,Dinner,1,5,9,6/17/2026
13,Fried Rice,"Rice:300:g, Egg:2:whole, Carrot:50:g, Peas:50:g",25,Stir fry all ingredients.,Easy,Dinner,1,4,14,6/19/2026
14,Beef Stir Fry,"Beef:250:g, Broccoli:100:g, Soy Sauce:30:ml",30,Cook beef and vegetables together.,Medium,Dinner,1,4,8,6/12/2026
15,Grilled Salmon,"Salmon:250:g, Lemon:1:whole, Butter:20:g",25,Bake or grill salmon.,Medium,Dinner,1,5,7,6/21/2026
16,Chicken Curry,"Chicken Breast:300:g, Curry Powder:20:g, Coconut Milk:250:ml",45,Simmer chicken in curry sauce.,Medium,Dinner,1,5,12,6/16/2026
17,Lasagna,"Lasagna Sheets:250:g, Ground Beef:300:g, Cheese:150:g",60,Layer ingredients and bake.,Hard,Dinner,1,5,6,6/9/2026
18,Vegetable Soup,"Carrot:100:g, Potato:150:g, Onion:80:g, Water:1000:ml",35,Boil vegetables until soft.,Easy,Dinner,1,4,10,6/6/2026
19,Steak,"Beef Steak:300:g, Butter:20:g, Pepper:1:tsp",20,Season and grill steak.,Medium,Dinner,1,5,15,6/23/2026
20,Roast Chicken,"Whole Chicken:1200:g, Butter:40:g, Garlic:5:cloves",90,Roast until fully cooked.,Hard,Dinner,1,5,5,6/5/2026
21,Chocolate Cake,"Flour:300:g, Cocoa Powder:80:g, Egg:3:whole, Sugar:250:g",70,Bake until cooked.,Medium,Dessert,1,5,9,6/18/2026
22,Brownies,"Flour:150:g, Cocoa Powder:60:g, Butter:120:g, Sugar:180:g",40,Bake in a square pan.,Easy,Dessert,1,5,13,6/11/2026
23,Chocolate Chip Cookies,"Flour:250:g, Butter:150:g, Chocolate Chips:150:g",30,Bake until golden.,Easy,Dessert,1,5,16,6/22/2026
