recipe_id,name,ingredients,prep_time,instructions,difficulty,category,servings,rating,times_cooked,last_cooked_date
1,Pancakes,"Flour:200:g, Milk:300:ml, Egg:2:whole, Sugar:20:g, Baking Powder:10:g",20,Mix ingredients. Cook on a hot pan until golden.,Easy,Breakfast,4,4,12,2026-06-15
2,Scrambled Eggs,"Egg:3:whole, Butter:10:g, Salt:1:tsp, Pepper:0.5:tsp",10,Whisk eggs and cook in butter.,Easy,Breakfast,2,5,18,2026-06-20
3,French Toast,"Bread:4:slices, Egg:2:whole, Milk:100:ml, Cinnamon:1:tsp",15,Dip bread in mixture and fry.,Easy,Breakfast,2,4,9,2026-05-28
4,Omelette,"Egg:3:whole, Cheese:50:g, Butter:10:g",12,Cook eggs and fold with cheese.,Easy,Breakfast,1,5,15,2026-06-18
5,Granola Bowl,"Yogurt:250:g, Granola:80:g, Honey:15:ml, Banana:1:whole",5,Combine all ingredients.,Easy,Breakfast,1,5,7,2026-06-22
6,Chicken Salad,"Chicken Breast:200:g, Lettuce:100:g, Tomato:80:g, Olive Oil:20:ml",20,Cook chicken and toss with vegetables.,Easy,Lunch,2,4,10,2026-06-11
7,Beef Burger,"Ground Beef:200:g, Burger Bun:2:whole, Cheese:40:g, Lettuce:30:g",30,Grill beef and assemble burger.,Medium,Lunch,2,5,13,2026-06-14
8,Club Sandwich,"Bread:6:slices, Chicken Breast:150:g, Lettuce:40:g, Tomato:50:g",15,Layer ingredients between toasted bread.,Easy,Lunch,2,4,8,2026-06-10
9,Chicken Wrap,"Tortilla:2:whole, Chicken Breast:180:g, Lettuce:50:g, Sauce:20:ml",20,Fill tortilla and roll tightly.,Easy,Lunch,2,4,6,2026-06-08
10,Grilled Cheese,"Bread:2:slices, Cheese:80:g, Butter:15:g",10,Toast until cheese melts.,Easy,Lunch,1,5,20,2026-06-25
11,Spaghetti Bolognese,"Spaghetti:250:g, Ground Beef:200:g, Tomato Sauce:250:ml",40,Cook pasta and prepare meat sauce.,Medium,Dinner,4,5,11,2026-06-13
12,Chicken Alfredo,"Pasta:250:g, Chicken Breast:200:g, Cream:200:ml, Parmesan:50:g",35,Cook pasta and combine with sauce.,Medium,Dinner,4,5,9,2026-06-17
13,Fried Rice,"Rice:300:g, Egg:2:whole, Carrot:50:g, Peas:50:g",25,Stir fry all ingredients.,Easy,Dinner,4,4,14,2026-06-19
14,Beef Stir Fry,"Beef:250:g, Broccoli:100:g, Soy Sauce:30:ml",30,Cook beef and vegetables together.,Medium,Dinner,3,4,8,2026-06-12
15,Grilled Salmon,"Salmon:250:g, Lemon:1:whole, Butter:20:g",25,Bake or grill salmon.,Medium,Dinner,2,5,7,2026-06-21
16,Chicken Curry,"Chicken Breast:300:g, Curry Powder:20:g, Coconut Milk:250:ml",45,Simmer chicken in curry sauce.,Medium,Dinner,4,5,12,2026-06-16
17,Lasagna,"Lasagna Sheets:250:g, Ground Beef:300:g, Cheese:150:g",60,Layer ingredients and bake.,Hard,Dinner,6,5,6,2026-06-09
18,Vegetable Soup,"Carrot:100:g, Potato:150:g, Onion:80:g, Water:1000:ml",35,Boil vegetables until soft.,Easy,Dinner,4,4,10,2026-06-06
19,Steak,"Beef Steak:300:g, Butter:20:g, Pepper:1:tsp",20,Season and grill steak.,Medium,Dinner,2,5,15,2026-06-23
